2025-12-16 22:09:27.204 [info] [CursorProclistService] Native module loaded successfully
2025-12-16 22:09:27.753 [info] [storage] Running database optimization (VACUUM) - last run was 20439 days ago
2025-12-16 22:09:27.934 [info] updateURL https://api2.cursor.sh/updates/api/update/linux-x64/cursor/2.2.20/112e7dae24148918b084f5eef4c55834877d783f77b9b193c2d78cf4950fce06/stable
2025-12-16 22:09:27.934 [info] update#setState idle
2025-12-16 22:09:28.205 [info] [storage] Database optimization (VACUUM) completed successfully
2025-12-16 22:09:34.663 [warning] [BrowserViewMainService] Cannot execute JavaScript: browser view not created for window 1
2025-12-16 22:09:35.592 [info] [CursorProclistService] Config enabled feature (subsample every 10s)
2025-12-16 22:09:57.937 [info] update#setState checking for updates
2025-12-16 22:09:58.004 [info] update#setState idle
2025-12-16 22:14:35.694 [info] [CursorProclistService] Sample 0 created: 30 processes, 32 subsamples
2025-12-16 22:19:35.695 [info] [CursorProclistService] Sample 1 created: 24 processes, 30 subsamples
2025-12-16 22:24:35.695 [info] [CursorProclistService] Sample 2 created: 23 processes, 31 subsamples
2025-12-16 22:29:35.695 [info] [CursorProclistService] Sample 3 created: 23 processes, 31 subsamples
2025-12-16 22:34:35.697 [info] [CursorProclistService] Sample 4 created: 23 processes, 31 subsamples
2025-12-16 22:39:35.695 [info] [CursorProclistService] Sample 5 created: 23 processes, 31 subsamples
2025-12-16 22:44:35.695 [info] [CursorProclistService] Sample 6 created: 23 processes, 31 subsamples
2025-12-16 22:49:35.712 [info] [CursorProclistService] Sample 7 created: 41 processes, 31 subsamples
2025-12-16 22:54:35.693 [info] [CursorProclistService] Sample 8 created: 34 processes, 31 subsamples
2025-12-16 22:59:35.694 [info] [CursorProclistService] Sample 9 created: 30 processes, 31 subsamples
2025-12-16 23:04:35.697 [info] [CursorProclistService] Sample 10 created: 26 processes, 31 subsamples
2025-12-16 23:09:35.696 [info] [CursorProclistService] Sample 11 created: 26 processes, 31 subsamples
2025-12-16 23:09:57.943 [info] update#setState checking for updates
2025-12-16 23:09:58.108 [info] update#setState idle
2025-12-16 23:14:35.692 [info] [CursorProclistService] Sample 12 created: 26 processes, 31 subsamples
